R&D Spend,Administration,Marketing Spend,Profit,Predicted Profit
165349.2,136897.8,471784.1,192261.83,7564357606.871594
162597.7,151377.59,443898.53,191792.06,7331220102.868468
153441.51,101145.55,407934.54,191050.39,6955552891.68935
144372.41,118671.85,383199.62,182901.99,6497805342.215026
142107.34,91391.77,366168.42,166187.94,6402132514.48559
131876.9,99814.71,362861.36,156991.12,6000066076.459761
134615.46,147198.87,127716.82,156122.51,5122497392.522342
130298.13,145530.06,323876.68,155752.6,5708977476.203481
120542.52,148718.95,311613.29,152211.77,5300284048.970416
123334.88,108679.17,304981.62,149759.96,5452681621.500398
101913.08,110594.11,229160.95,146121.95,4380139215.983634
100671.96,91790.61,249744.55,144259.4,4447995395.83177
93863.75,127320.38,249839.44,141585.52,4132709690.97349
91992.39,135495.07,252664.93,134307.35,4059621750.712293
119943.24,156547.42,256512.92,132602.65,5055486835.203637
114523.61,122616.84,261776.23,129917.04,4941337917.952082
78013.11,121597.55,264346.06,126992.93,3619297856.4818187
94657.16,145077.58,282574.31,125370.37,4251894193.6319556
91749.16,114175.79,294919.57,124266.9,4250537391.037061
86419.7,153514.11,0.0,122776.86,2867604123.920035
76253.86,113867.3,298664.47,118474.03,3699247951.619313
78389.47,153773.43,299737.29,111313.02,3706113044.98832
73994.56,122782.75,303319.26,110352.25,3617503942.730737
67532.53,105751.03,304768.73,108733.99,3419026393.61301
77044.01,99281.34,140574.81,108552.04,3158375031.220258
64664.71,139553.16,137962.62,107404.34,2620424074.3770213
75328.87,144135.98,134050.07,105733.54,2986552085.8015566
72107.6,127864.55,353183.81,105008.31,3727375537.126555
66051.52,182645.56,118148.2,103282.38,2515026094.562652
65605.48,153032.06,107138.38,101004.64,2512943690.318056
61994.48,115641.28,91131.24,99937.59,2391027210.617968
61136.38,152701.92,88218.23,97483.56,2278841516.7997875
63408.86,129219.61,46085.25,97427.84,2246933626.455884
55493.95,103057.49,214634.81,96778.92,2643850089.5917506
46426.07,157693.92,210797.67,96712.8,2195164055.827204
46014.02,85047.44,205517.64,96479.51,2297059131.9998355
28663.76,127056.21,201126.82,90708.19,1567534865.1313086
44069.95,51283.14,197029.42,89949.14,2257603741.9575152
20229.59,65947.93,185265.1,81229.06,1314677868.4263854
38558.51,82982.09,174999.3,81005.76,1913323148.4675803
28754.33,118546.05,172795.67,78239.91,1479851921.517829
27892.92,84710.77,164470.71,77798.83,1480694839.1279197
23640.93,96189.63,148001.11,71498.49,1241528298.0747137
15505.73,127382.3,35534.17,69758.98,460713503.76446015
22177.74,154806.14,28334.72,65200.33,625556721.6307359
1000.23,124153.04,1903.93,64926.08,-190109797.78865498
1315.46,115816.21,297114.46,49490.75,952342598.7488945
0.0,135426.92,0.0,42559.73,-255083322.58222234
542.05,51743.15,0.0,35673.41,-77591580.12908047
0.0,116983.8,45173.06,14681.4,-49677625.19598717
